,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
👷🏿,people,construction worker type,[construction_worker_tone5],,[],1f477_1f3ff,👷🏿,,construction worker tone 5,
👸,people,princess,[princess],,"[beautiful, diversity, people, fantasy, fairy tale, girls night, princess, women]",1f478,👸,,,
👸🏻,people,princess type,[princess_tone1],,[],1f478_1f3fb,👸🏻,,princess tone 1,
👸🏼,people,princess type,[princess_tone2],,[],1f478_1f3fc,👸🏼,,princess tone 2,
👸🏽,people,princess type,[princess_tone3],,[],1f478_1f3fd,👸🏽,,princess tone 3,
👸🏾,people,princess type,[princess_tone4],,[],1f478_1f3fe,👸🏾,,princess tone 4,
👸🏿,people,princess type,[princess_tone5],,[],1f478_1f3ff,👸🏿,,princess tone 5,
👹,people,japanese ogre,[japanese_ogre],,"[ogre, monster, japanese, face, fantasy, fairy tale, creature]",1f479,👹,,,
👺,people,japanese goblin,[japanese_goblin],,"[monster, angry, japanese, face, fantasy, fairy tale, goblin, creature]",1f47a,👺,,,
👻,people,ghost,[ghost],,"[ghost, monster, halloween, face, fantasy, fairy tale, holidays, creature]",1f47b,👻,,,
👼,people,baby angel,[angel],,"[diversity, angel, people, face, fantasy, fairy tale, baby, omg]",1f47c,👼,,,
👼🏻,people,baby angel type,[angel_tone1],,[],1f47c_1f3fb,👼🏻,,baby angel tone 1,
👼🏼,people,baby angel type,[angel_tone2],,[],1f47c_1f3fc,👼🏼,,baby angel tone 2,
👼🏽,people,baby angel type,[angel_tone3],,[],1f47c_1f3fd,👼🏽,,baby angel tone 3,
👼🏾,people,baby angel type,[angel_tone4],,[],1f47c_1f3fe,👼🏾,,baby angel tone 4,
👼🏿,people,baby angel type,[angel_tone5],,[],1f47c_1f3ff,👼🏿,,baby angel tone 5,
👽,people,extraterrestrial alien,[alien],,"[monster, fantasy, space, scientology, ufo, face, alien, extraterrestrial, fairy tale, creature]",1f47d,👽,,,
👾,activity,alien monster,[space_invader],,"[monster, fantasy, space, ufo, face, alien, extraterrestrial, fairy tale, creature]",1f47e,👾,,,
👿,people,imp,[imp],,"[devil, monster, fantasy, smiley, demon, face, imp, fairy tale, wth]",1f47f,👿,,,
💀,people,skull,"[skeleton, skull]",,"[body, death, monster, skull, halloween, dead, face, fairy tale]",1f480,💀,[:skeleton:],,
💁,people,information desk person,[information_desk_person],,"[information, diversity, help, people, hand, sassy, women]",1f481,💁,,,
💁🏻,people,information desk person type,[information_desk_person_tone1],,[],1f481_1f3fb,💁🏻,,information desk person tone 1,
💁🏼,people,information desk person type,[information_desk_person_tone2],,[],1f481_1f3fc,💁🏼,,information desk person tone 2,
💁🏽,people,information desk person type,[information_desk_person_tone3],,[],1f481_1f3fd,💁🏽,,information desk person tone 3,
💁🏾,people,information desk person type,[information_desk_person_tone4],,[],1f481_1f3fe,💁🏾,,information desk person tone 4,
💁🏿,people,information desk person type,[information_desk_person_tone5],,[],1f481_1f3ff,💁🏿,,information desk person tone 5,
💂,people,guardsman,[guardsman],,"[guardsman, diversity, people, men, job, guard, hat]",1f482,💂,,,
💂🏻,people,guardsman type,[guardsman_tone1],,[],1f482_1f3fb,💂🏻,,guardsman tone 1,
💂🏼,people,guardsman type,[guardsman_tone2],,[],1f482_1f3fc,💂🏼,,guardsman tone 2,
💂🏽,people,guardsman type,[guardsman_tone3],,[],1f482_1f3fd,💂🏽,,guardsman tone 3,
💂🏾,people,guardsman type,[guardsman_tone4],,[],1f482_1f3fe,💂🏾,,guardsman tone 4,
💂🏿,people,guardsman type,[guardsman_tone5],,[],1f482_1f3ff,💂🏿,,guardsman tone 5,
💃,people,dancer,[dancer],,"[diversity, people, dance, dancer, girls night, sexy, women]",1f483,💃,,,
💃🏻,people,dancer type,[dancer_tone1],,[],1f483_1f3fb,💃🏻,,dancer tone 1,
💃🏼,people,dancer type,[dancer_tone2],,[],1f483_1f3fc,💃🏼,,dancer tone 2,
💃🏽,people,dancer type,[dancer_tone3],,[],1f483_1f3fd,💃🏽,,dancer tone 3,
💃🏾,people,dancer type,[dancer_tone4],,[],1f483_1f3fe,💃🏾,,dancer tone 4,
💃🏿,people,dancer type,[dancer_tone5],,[],1f483_1f3ff,💃🏿,,dancer tone 5,
💄,people,lipstick,[lipstick],,"[fashion, lipstick, makeup, object, lip, cosmetics, sexy, women]",1f484,💄,,,
💅,people,nail polish,[nail_care],,"[body, diversity, nailpolish, nail, girls night, cosmetics, manicure, hands, polish, women, care]",1f485,💅,,,
💅🏻,people,nail polish type,[nail_care_tone1],,[],1f485_1f3fb,💅🏻,,nail polish tone 1,
💅🏼,people,nail polish type,[nail_care_tone2],,[],1f485_1f3fc,💅🏼,,nail polish tone 2,
💅🏽,people,nail polish type,[nail_care_tone3],,[],1f485_1f3fd,💅🏽,,nail polish tone 3,
💅🏾,people,nail polish type,[nail_care_tone4],,[],1f485_1f3fe,💅🏾,,nail polish tone 4,
💅🏿,people,nail polish type,[nail_care_tone5],,[],1f485_1f3ff,💅🏿,,nail polish tone 5,
💆,people,face massage,[massage],,"[salon, women, diversity, massage, people]",1f486,💆,,,
💆🏻,people,face massage type,[massage_tone1],,[],1f486_1f3fb,💆🏻,,face massage tone 1,
💆🏼,people,face massage type,[massage_tone2],,[],1f486_1f3fc,💆🏼,,face massage tone 2,
💆🏽,people,face massage type,[massage_tone3],,[],1f486_1f3fd,💆🏽,,face massage tone 3,
💆🏾,people,face massage type,[massage_tone4],,[],1f486_1f3fe,💆🏾,,face massage tone 4,
💆🏿,people,face massage type,[massage_tone5],,[],1f486_1f3ff,💆🏿,,face massage tone 5,
💇,people,haircut,[haircut],,"[diversity, beauty, people, haircut, parlor, barber, women]",1f487,💇,,,
💇🏻,people,haircut type,[haircut_tone1],,[],1f487_1f3fb,💇🏻,,haircut tone 1,
💇🏼,people,haircut type,[haircut_tone2],,[],1f487_1f3fc,💇🏼,,haircut tone 2,
💇🏽,people,haircut type,[haircut_tone3],,[],1f487_1f3fd,💇🏽,,haircut tone 3,
💇🏾,people,haircut type,[haircut_tone4],,[],1f487_1f3fe,💇🏾,,haircut tone 4,
💇🏿,people,haircut type,[haircut_tone5],,[],1f487_1f3ff,💇🏿,,haircut tone 5,
💈,objects,barber pole,[barber],,"[pole, haircut, barber, object]",1f488,💈,,,
💉,objects,syringe,[syringe],,"[object, shot, doctor, drugs, tool, needle, syringe, health, sick, medicine, weapon]",1f489,💉,,,
💊,objects,pill,[pill],,"[doctor, drugs, object, health, sick, medicine, pill]",1f48a,💊,,,
💋,people,kiss mark,[kiss],,"[beautiful, heart, love, girls night, mark, romance, lips, lip, kiss, sexy, women]",1f48b,💋,,,
💌,objects,love letter,[love_letter],,"[heart, love, object, romance, letter, mail]",1f48c,💌,,,
💍,people,ring,[ring],,"[diamond, object, accessories, romance, fashion, wedding, ring, gem]",1f48d,💍,,,
💎,objects,gem stone,[gem],,"[romance, diamond, jewel, gem, object]",1f48e,💎,,,
💏,people,kiss,[couplekiss],,"[love, people, couple, sex, romance, kiss]",1f48f,💏,,,
💐,nature,bouquet,[bouquet],,"[plant, flower, nature, bouquet, rip, romance, condolence]",1f490,💐,,,
💑,people,couple with heart,[couple_with_heart],,"[heart, love, people, couple, sex, romance]",1f491,💑,,,
💒,travel,wedding,[wedding],,"[building, love, places, activity, romance, parties, wedding, chapel]",1f492,💒,,,
💓,symbols,beating heart,[heartbeat],,"[heart, love, symbol, pulsating, heartbeat, beating]",1f493,💓,,,
💔,symbols,broken heart,[broken_heart],,"[heart, love, symbol, break, broken, heartbreak]",1f494,💔,,,[</3]
💕,symbols,two hearts,[two_hearts],,"[heart, symbol, love]",1f495,💕,,,
💖,symbols,sparkling heart,[sparkling_heart],,"[heart, love, symbol, sparkle, girls night, excited]",1f496,💖,,,
💗,symbols,growing heart,[heartpulse],,"[heart, love, nervous, symbol, heartpulse, growing, excited]",1f497,💗,,,
💘,symbols,heart with arrow,[cupid],,"[heart, love, symbol, cupid, romance, arrow]",1f498,💘,,,
💙,symbols,blue heart,[blue_heart],,"[blue, heart, symbol, love]",1f499,💙,,,
💚,symbols,green heart,[green_heart],,"[heart, symbol, green, love]",1f49a,💚,,,
💛,symbols,yellow heart,[yellow_heart],,"[heart, symbol, love, yellow]",1f49b,💛,,,
💜,symbols,purple heart,[purple_heart],,"[purple, heart, symbol, love]",1f49c,💜,,,
💝,symbols,heart with ribbon,[gift_heart],,"[heart, love, symbol, valentine, condolence, ribbon]",1f49d,💝,,,
💞,symbols,revolving hearts,[revolving_hearts],,"[heart, symbol, love, revolving]",1f49e,💞,,,
💟,symbols,heart decoration,[heart_decoration],,"[heart, symbol, love]",1f49f,💟,,,
💠,symbols,diamond shape with a dot inside,[diamond_shape_with_a_dot_inside],,"[symbol, comic, diamond, inside, geometric]",1f4a0,💠,,,
💡,objects,electric light bulb,[bulb],,"[electric, light, object, idea, science, bulb, comic]",1f4a1,💡,,,
💢,symbols,anger symbol,[anger],,"[symbol, angry, comic, mad]",1f4a2,💢,,,
💣,objects,bomb,[bomb],,"[bomb, weapon, object, dead, comic, blast]",1f4a3,💣,,,
💤,people,sleeping symbol,[zzz],,"[comic, sleep, zzz, goodnight, tired]",1f4a4,💤,,,
💥,nature,collision symbol,[boom],,"[symbol, collision, comic, blast, boom]",1f4a5,💥,,,
💦,nature,splashing sweat symbol,[sweat_drops],,"[comic, stressed, splashing, rain, sweat]",1f4a6,💦,,,
💧,nature,droplet,[droplet],,"[drop, sky, rain, weather, sweat, cold, comic]",1f4a7,💧,,,
💨,nature,dash symbol,[dash],,"[dash, running, smoking, comic, cold, cloud]",1f4a8,💨,,,
💩,people,pile of poo,"[poop, shit|hankey|poo]",,"[poop, sol, monster, diarrhea, dung, bathroom, face, poo, comic, shit]",1f4a9,💩,"[:shit:, :hankey:, :poo:]",,
💪,people,flexed biceps,[muscle],,"[body, flex, biceps, diversity, feminist, win, workout, hands, boys night, comic, muscle]",1f4aa,💪,,,
💪🏻,people,flexed biceps type,[muscle_tone1],,[],1f4aa_1f3fb,💪🏻,,flexed biceps tone 1,
💪🏼,people,flexed biceps type,[muscle_tone2],,[],1f4aa_1f3fc,💪🏼,,flexed biceps tone 2,
💪🏽,people,flexed biceps type,[muscle_tone3],,[],1f4aa_1f3fd,💪🏽,,flexed biceps tone 3,
💪🏾,people,flexed biceps type,[muscle_tone4],,[],1f4aa_1f3fe,💪🏾,,flexed biceps tone 4,
💪🏿,people,flexed biceps type,[muscle_tone5],,[],1f4aa_1f3ff,💪🏿,,flexed biceps tone 5,
💫,nature,dizzy symbol,[dizzy],,"[comic, dizzy, star, symbol]",1f4ab,💫,,,
💬,symbols,speech balloon,[speech_balloon],,"[symbol, free speech, speech, dialog, comic, bubble, balloon]",1f4ac,💬,,,
💭,symbols,thought balloon,[thought_balloon],,"[thought, balloon, symbol, bubble, comic]",1f4ad,💭,,,
💮,symbols,white flower,[white_flower],,"[symbol, flower]",1f4ae,💮,,,
💯,symbols,hundred points symbol,[100],,"[, perfect, full, win, symbol, score, parties, hundred, wow]",1f4af,💯,,,
💰,objects,money bag,[moneybag],,"[bag, dollar, award, moneybag, money]",1f4b0,💰,,,
💱,symbols,currency exchange,[currency_exchange],,"[currency, symbol, money, bank, exchange]",1f4b1,💱,,,
💲,symbols,heavy dollar sign,[heavy_dollar_sign],,"[currency, symbol, dollar, math, money]",1f4b2,💲,,,
💳,objects,credit card,[credit_card],,"[money, object, credit, bank, boys night, card]",1f4b3,💳,,,
💴,objects,banknote with yen sign,[yen],,"[banknote, yen, money, bill, note, currency, bank]",1f4b4,💴,,,
💵,objects,banknote with dollar sign,[dollar],,"[banknote, money, bill, dollar, note, currency, bank]",1f4b5,💵,,,
💶,objects,banknote with euro sign,[euro],,"[banknote, money, bill, note, currency, bank, euro]",1f4b6,💶,,,
💷,objects,banknote with pound sign,[pound],,"[pound, banknote, money, bill, note, currency, bank]",1f4b7,💷,,,
💸,objects,money with wings,[money_with_wings],,"[fly, banknote, money, bill, dollar, note, boys night, wings, bank]",1f4b8,💸,,,
💹,symbols,chart with upwards trend and yen sign,[chart],,"[yen, trend, graph, symbol, rise, chart, currency, growth, bank, money, market, upward]",1f4b9,💹,,,
💺,travel,seat,[seat],,"[transportation, travel, object, vacation, seat, chair]",1f4ba,💺,,,
💻,objects,personal computer,[computer],,"[office, personal, work, pc, computer, electronics]",1f4bb,💻,,,
💼,people,briefcase,[briefcase],,"[briefcase, work, accessories, bag, job, nutcase]",1f4bc,💼,,,
💽,objects,minidisc,[minidisc],,"[minidisk, entertainment, computer, electronics, disk, optical]",1f4bd,💽,,,
💾,objects,floppy disk,[floppy_disk],,"[disk, floppy, electronics, computer, office]",1f4be,💾,,,
💿,objects,optical disc,[cd],,"[computer, blu ray, dvd, cd, optical, electronics, disk]",1f4bf,💿,,,
📀,objects,dvd,[dvd],,"[entertainment, blu ray, dvd, cd, computer, optical, disk, electronics]",1f4c0,📀,,,
📁,objects,file folder,[file_folder],,"[folder, work, office, file]",1f4c1,📁,,,
📂,objects,open file folder,[open_file_folder],,"[folder, work, open, office, file]",1f4c2,📂,,,
📃,objects,page with curl,[page_with_curl],,"[write, curl, document, page, office]",1f4c3,📃,,,
📄,objects,page facing up,[page_facing_up],,"[work, write, document, page, office]",1f4c4,📄,,,
📅,objects,calendar,[date],,"[date, calendar, object, office]",1f4c5,📅,,,
📆,objects,tear off calendar,[calendar],,"[calendar, object, office]",1f4c6,📆,,tear-off calendar,
📇,objects,card index,[card_index],,"[index, object, office, work, rolodex, card]",1f4c7,📇,,,
📈,objects,chart with upwards trend,[chart_with_upwards_trend],,"[office, trend, graph, work, chart, growth, upward]",1f4c8,📈,,,
📉,objects,chart with downwards trend,[chart_with_downwards_trend],,"[office, trend, graph, work, chart, down]",1f4c9,📉,,,
📊,objects,bar chart,[bar_chart],,"[graph, work, bar, chart, office]",1f4ca,📊,,,
📋,objects,clipboard,[clipboard],,"[work, write, clipboard, office, object]",1f4cb,📋,,,
📌,objects,pushpin,[pushpin],,"[office, object, pushpin, pin]",1f4cc,📌,,,
📍,objects,round pushpin,[round_pushpin],,"[office, object, pushpin, pin]",1f4cd,📍,,,
📎,objects,paperclip,[paperclip],,"[work, object, paperclip, office]",1f4ce,📎,,,
📏,objects,straight ruler,[straight_ruler],,"[ruler, tool, object, straight edge, office]",1f4cf,📏,,,
📐,objects,triangular ruler,[triangular_ruler],,"[set, triangle, office, ruler, tool, object]",1f4d0,📐,,,
📑,objects,bookmark tabs,[bookmark_tabs],,"[office, bookmark, mark, write, tabs, marker]",1f4d1,📑,,,
📒,objects,ledger,[ledger],,"[write, office, notebook, ledger, object]",1f4d2,📒,,,
📓,objects,notebook,[notebook],,"[write, notebook, office, object]",1f4d3,📓,,,
📔,objects,notebook with decorative cover,[notebook_with_decorative_cover],,"[office, object, cover, notebook, write, book, decorated]",1f4d4,📔,,,
📕,objects,closed book,[closed_book],,"[write, book, office, closed, object]",1f4d5,📕,,,
📖,objects,open book,[book],,"[write, book, open, office, object]",1f4d6,📖,,,
📗,objects,green book,[green_book],,"[book, green, office, object]",1f4d7,📗,,,
📘,objects,blue book,[blue_book],,"[blue, write, book, office, object]",1f4d8,📘,,,
📙,objects,orange book,[orange_book],,"[orange, write, book, office, object]",1f4d9,📙,,,
📚,objects,books,[books],,"[write, book, books, office, object]",1f4da,📚,,,
📛,symbols,name badge,[name_badge],,"[work, badge, name]",1f4db,📛,,,
📜,objects,scroll,[scroll],,"[office, paper, scroll, object]",1f4dc,📜,,,
📝,objects,memo,[pencil],,"[pencil, office, communication, memo, work, write]",1f4dd,📝,,,
📞,objects,telephone receiver,[telephone_receiver],,"[communication, electronics, receiver, telephone, phone]",1f4de,📞,,,
📟,objects,pager,[pager],,"[communication, electronics, work, pager]",1f4df,📟,,,
📠,objects,fax machine,[fax],,"[communication, fax, work, electronics, office]",1f4e0,📠,,,
📡,objects,satellite antenna,[satellite],,"[dish, communication, satellite, object, antenna]",1f4e1,📡,,,
📢,symbols,public address loudspeaker,[loudspeaker],,"[loudspeaker, public address, communication, alarm, object, loud, symbol]",1f4e2,📢,,,
📣,symbols,cheering megaphone,[mega],,"[cheering, megaphone, sport, object, communication]",1f4e3,📣,,,
📤,objects,outbox tray,[outbox_tray],,"[box, office, communication, work, letter, mail, outbox, tray, sent]",1f4e4,📤,,,
📥,objects,inbox tray,[inbox_tray],,"[box, office, receive, communication, work, inbox, letter, mail, tray]",1f4e5,📥,,,
📦,objects,package,[package],,"[box, parcel, gift, package, communication, office, object]",1f4e6,📦,,,
📧,objects,e mail symbol,"[e-mail, email]",,"[office, communication, e mail, letter, mail, email]",1f4e7,📧,[:email:],e-mail symbol,
📨,objects,incoming envelope,[incoming_envelope],,"[incoming, receive, communication, object, envelope, e mail, letter, mail, email]",1f4e8,📨,,,
📩,objects,envelope with downwards arrow above,[envelope_with_arrow],,"[outgoing, letter, office, communication, object, envelope, down, e mail, arrow, mail, email, sent]",1f4e9,📩,,,
📪,objects,closed mailbox with lowered flag,[mailbox_closed],,"[office, communication, postbox, object, mailbox, flag, lowered, closed, mail]",1f4ea,📪,,,
📫,objects,closed mailbox with raised flag,[mailbox],,"[communication, postbox, object, mailbox, flag, closed, mail]",1f4eb,📫,,,
📬,objects,open mailbox with raised flag,[mailbox_with_mail],,"[communication, postbox, object, mailbox, flag, mail, open]",1f4ec,📬,,,
📭,objects,open mailbox with lowered flag,[mailbox_with_no_mail],,"[communication, postbox, object, mailbox, flag, lowered, mail, open]",1f4ed,📭,,,
📮,objects,postbox,[postbox],,"[communication, postbox, mailbox, object, mail]",1f4ee,📮,,,
📯,objects,postal horn,[postal_horn],,"[entertainment, communication, object, horn, post, postal]",1f4ef,📯,,,
📰,objects,newspaper,[newspaper],,"[office, communication, write, paper, newspaper, news]",1f4f0,📰,,,
📱,objects,mobile phone,[iphone],,"[mobile, communication, selfie, telephone, cell, phone, electronics]",1f4f1,📱,,,
📲,objects,mobile phone with rightwards arrow at left,[calling],,"[mobile, communication, selfie, telephone, cell, phone, call, arrow, electronics, receive]",1f4f2,📲,,,
📳,symbols,vibration mode,[vibration_mode],,"[vibration, mobile, communication, symbol, telephone, cell, phone, mode]",1f4f3,📳,,,
📴,symbols,mobile phone off,[mobile_phone_off],,"[off, mobile, communication, symbol, telephone, cell, phone]",1f4f4,📴,,,
📵,symbols,no mobile phones,[no_mobile_phones],,"[no, mobile, communication, forbidden, telephone, cell, phone, prohibited, not, symbol]",1f4f5,📵,,,
📶,symbols,antenna with bars,[signal_strength],,"[bar, antenna, mobile, communication, signal, telephone, cell, phone, symbol]",1f4f6,📶,,,
