,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🏎,travel,racing car,"[race_car, racing_car]",1f3ce-fe0f,"[car, racing, transportation]",1f3ce,🏎,[:racing_car:],,
🏏,activity,cricket bat and ball,"[cricket, cricket_bat_ball]",,"[sport, bat, ball, game, cricket]",1f3cf,🏏,[:cricket_bat_ball:],,
🏐,activity,volleyball,[volleyball],,"[game, ball, sport, volleyball]",1f3d0,🏐,,,
🏑,activity,field hockey stick and ball,[field_hockey],,"[ball, field, game, hockey, sport, stick]",1f3d1,🏑,,,
🏒,activity,ice hockey stick and puck,[hockey],,"[puck, ice, game, hockey, sport, stick]",1f3d2,🏒,,,
🏓,activity,table tennis paddle and ball,"[ping_pong, table_tennis]",,"[bat, ball, table tennis, paddle, game, sport, ping pong]",1f3d3,🏓,[:table_tennis:],,
🏔,travel,snow capped mountain,"[mountain_snow, snow_capped_mountain]",1f3d4-fe0f,"[mountain, places, travel, camp, vacation, snow, cold]",1f3d4,🏔,[:snow_capped_mountain:],,
🏕,travel,camping,[camping],1f3d5-fe0f,"[travel, camp, places, camping, vacation]",1f3d5,🏕,,,
🏖,travel,beach with umbrella,"[beach_with_umbrella, beach]",1f3d6-fe0f,"[swim, umbrella, places, travel, vacation, tropical, beach]",1f3d6,🏖,[:beach_with_umbrella:],,
🏗,travel,building construction,"[building_construction, construction_site]",1f3d7-fe0f,"[building, crane, construction]",1f3d7,🏗,[:building_construction:],,
🏘,travel,house buildings,"[homes, house_buildings]",1f3d8-fe0f,"[building, house, places]",1f3d8,🏘,[:house_buildings:],,
